Session,Spin_Num,Data_Index,Actual_Number,Predicted_Anchors,Confidence_%,Bet_Placed,Total_Bet,Result,Net_Profit,Bankroll,Hit
1,1,51,24,0|26|32|34,64.0,YES,12.0,WIN,24.0,4024.0,YES
1,2,52,21,16|24|33|0,74.2,YES,12.0,LOSS,-12.0,4012.0,NO
1,3,53,13,32|0|15|26,74.0,YES,12.0,LOSS,-12.0,4000.0,NO
1,4,54,16,8|30|23|0,67.5,NO,0,,0,4000.0,NO
1,5,55,20,36|13|11|12,55.7,NO,0,,0,4000.0,NO
1,6,56,1,16|24|33|0,46.5,NO,0,,0,4000.0,NO
1,7,57,26,16|24|33|0,44.4,NO,0,,0,4000.0,YES
1,8,58,8,16|24|33|0,47.8,YES,12.0,WIN,24.0,4024.0,YES
1,9,59,1,29|18|7|35,47.6,YES,12.0,LOSS,-12.0,4012.0,NO
1,10,60,15,26|3|0|16,48.7,YES,12.0,LOSS,-12.0,4000.0,NO
1,11,61,14,6|34|27|16,48.5,NO,0,,0,4000.0,NO
1,12,62,20,5|10|24|31,49.7,NO,0,,0,4000.0,YES
1,13,63,17,1|33|20|14,52.2,NO,0,,0,4000.0,NO
1,14,64,6,0|26|32|8,50.3,YES,12.0,LOSS,-12.0,3988.0,NO
1,15,65,26,9|31|22|25,50.7,YES,24.0,WIN,48.0,4036.0,YES
1,16,66,17,8|30|23|6,56.4,YES,24.0,LOSS,-24.0,4012.0,NO
1,17,67,3,0|26|32|6,61.7,YES,24.0,LOSS,-24.0,3988.0,NO
1,18,68,16,0|26|32|6,63.2,NO,0,,0,3988.0,YES
1,19,69,36,20|1|14|36,63.3,NO,0,,0,3988.0,YES
1,20,70,9,18|22|29|35,63.9,NO,0,,0,3988.0,NO
1,21,71,9,34|17|6|16,62.5,YES,24.0,LOSS,-24.0,3964.0,NO
1,22,72,20,34|17|6|9,64.2,YES,36.0,LOSS,-36.0,3928.0,NO
1,23,73,27,17|25|34|1,63.9,YES,36.0,LOSS,-36.0,3892.0,NO
1,24,74,23,16|24|33|20,62.7,NO,0,,0,3892.0,NO
1,25,75,24,4|19|21|16,64.3,NO,0,,0,3892.0,YES
1,26,76,1,16|24|33|21,66.0,NO,0,,0,3892.0,YES
1,27,77,22,26|3|0|15,67.0,YES,36.0,LOSS,-36.0,3856.0,NO
1,28,78,30,2|21|25|16,69.0,YES,48.0,LOSS,-48.0,3808.0,NO
1,29,79,9,24|5|16|33,65.3,YES,48.0,WIN,96.0,3904.0,YES
1,30,80,34,9|31|22|20,63.3,YES,48.0,WIN,96.0,4000.0,YES
1,31,81,7,0|26|32|7,63.4,YES,36.0,WIN,72.0,4072.0,YES
1,32,82,18,14|20|31|15,61.3,YES,36.0,LOSS,-36.0,4036.0,NO
1,33,83,6,36|13|11|9,62.4,YES,36.0,WIN,72.0,4108.0,YES
2,1,52,21,16|24|33|0,64.2,YES,12.0,LOSS,-12.0,3988.0,NO
2,2,53,13,32|0|15|26,74.0,YES,12.0,LOSS,-12.0,3976.0,NO
2,3,54,16,8|30|23|0,64.2,NO,0,,0,3976.0,NO
2,4,55,20,36|13|11|12,52.3,NO,0,,0,3976.0,NO
2,5,56,1,16|24|33|0,48.8,NO,0,,0,3976.0,NO
2,6,57,26,16|24|33|0,39.6,NO,0,,0,3976.0,YES
2,7,58,8,16|24|33|0,44.4,NO,0,,0,3976.0,YES
2,8,59,1,29|18|7|35,45.0,YES,12.0,LOSS,-12.0,3964.0,NO
2,9,60,15,26|3|0|16,46.3,YES,24.0,LOSS,-24.0,3940.0,NO
2,10,61,14,6|34|27|16,46.4,YES,24.0,LOSS,-24.0,3916.0,NO
2,11,62,20,5|10|24|31,48.8,NO,0,,0,3916.0,YES
2,12,63,17,1|33|20|14,51.4,NO,0,,0,3916.0,NO
2,13,64,6,0|26|32|8,49.5,NO,0,,0,3916.0,NO
2,14,65,26,9|31|22|25,50.0,YES,24.0,WIN,48.0,3964.0,YES
2,15,66,17,8|30|23|6,55.8,YES,24.0,LOSS,-24.0,3940.0,NO
2,16,67,3,0|26|32|6,61.2,YES,24.0,LOSS,-24.0,3916.0,NO
2,17,68,16,0|26|32|6,62.7,NO,0,,0,3916.0,YES
2,18,69,36,20|1|14|36,62.8,NO,0,,0,3916.0,YES
2,19,70,9,18|22|29|35,63.5,NO,0,,0,3916.0,NO
2,20,71,9,34|17|6|16,62.1,YES,24.0,LOSS,-24.0,3892.0,NO
2,21,72,20,34|17|6|9,64.2,YES,36.0,LOSS,-36.0,3856.0,NO
2,22,73,27,17|25|34|1,63.9,YES,36.0,LOSS,-36.0,3820.0,NO
2,23,74,23,16|24|33|20,62.7,NO,0,,0,3820.0,NO
2,24,75,24,4|19|21|16,64.3,NO,0,,0,3820.0,YES
2,25,76,1,16|24|33|21,66.0,NO,0,,0,3820.0,YES
2,26,77,22,26|3|0|15,67.0,YES,36.0,LOSS,-36.0,3784.0,NO
2,27,78,30,2|21|25|16,69.0,YES,48.0,LOSS,-48.0,3736.0,NO
2,28,79,9,24|5|16|33,65.3,YES,48.0,WIN,96.0,3832.0,YES
2,29,80,34,9|31|22|20,63.3,YES,48.0,WIN,96.0,3928.0,YES
2,30,81,7,0|26|32|7,63.4,YES,36.0,WIN,72.0,4000.0,YES
2,31,82,18,14|20|31|15,61.3,YES,36.0,LOSS,-36.0,3964.0,NO
2,32,83,6,36|13|11|9,62.4,YES,36.0,WIN,72.0,4036.0,YES
2,33,84,1,9|31|22|26,67.2,YES,36.0,LOSS,-36.0,4000.0,NO
2,34,85,4,26|3|0|22,65.9,YES,36.0,LOSS,-36.0,3964.0,NO
2,35,86,10,11|36|30|9,60.2,NO,0,,0,3964.0,NO
2,36,87,21,6|34|27|9,60.5,NO,0,,0,3964.0,NO
2,37,88,8,13|27|36|32,57.9,NO,0,,0,3964.0,NO
2,38,89,5,1|33|20|29,60.1,YES,36.0,LOSS,-36.0,3928.0,NO
2,39,90,22,33|16|1|24,57.9,YES,48.0,WIN,96.0,4024.0,YES
2,40,91,20,30|11|8|2,60.1,YES,48.0,WIN,96.0,4120.0,YES
3,1,53,13,32|0|15|26,64.0,YES,12.0,LOSS,-12.0,3988.0,NO
3,2,54,16,8|30|23|0,54.2,YES,12.0,LOSS,-12.0,3976.0,NO
3,3,55,20,36|13|11|12,45.7,NO,0,,0,3976.0,NO
